area_name,area_type,time_of_day,lighting_quality,crime_rate,crowd_density,incident_count,cctv_coverage,police_distance_km,safety_score,safety_label,lat,lng,ward_no,women_safety_risk,street_light_coverage,police_station_nearby,ncrb_crime_intensity
Bicholi Mardana,residential,3,poor,medium,low,13,no,5.5,12.8,Unsafe,22.7734,75.9234,77,medium,partial,0,0.6
Murai Mohalla,residential,22,medium,medium,low,14,no,4.5,8.7,Unsafe,22.7145,75.8478,13,high,partial,0,0.55
Old Railway Lanes,isolated,1,poor,high,low,41,no,6.5,20.8,Unsafe,22.7134,75.8423,15,high,none,0,0.98
Hatod Road,isolated,7,poor,high,low,27,no,8.5,13.3,Unsafe,22.7823,75.7934,81,low,none,0,0.75
Bambori,isolated,3,poor,high,low,28,no,8.5,6.9,Unsafe,22.8234,75.8623,86,low,none,0,1.0
Bada Rawla Naka,market,6,medium,medium,low,9,no,3.5,39.1,Unsafe,22.7089,75.8556,19,low,partial,0,0.59
Rajwada,market,23,medium,medium,medium,21,yes,1.5,18.8,Unsafe,22.718,75.8573,8,medium,partial,1,0.82
Annapurna Road,commercial,0,medium,medium,low,28,yes,3.0,21.2,Unsafe,22.6975,75.8782,7,low,partial,1,0.58
Raoji Bazar,market,18,medium,medium,high,6,yes,1.8,48.1,Medium,22.7198,75.8534,11,high,partial,0,0.59
Musakhedi,residential,23,poor,high,low,24,no,6.0,14.7,Unsafe,22.7134,75.8734,27,medium,partial,0,0.52
MG Road,commercial,15,good,low,high,1,yes,1.0,95.0,Safe,22.7196,75.8799,18,low,full,1,0.5
Bhagirathpura,residential,20,medium,medium,medium,13,no,4.0,6.8,Unsafe,22.7212,75.8489,28,high,partial,0,0.52
Super Corridor,commercial,18,good,low,medium,2,yes,2.0,88.0,Safe,22.8123,75.8934,85,low,full,0,0.4
Scheme 78,residential,12,good,low,medium,1,yes,2.2,93.3,Safe,22.7467,75.8756,78,low,full,0,0.37
Siyaganj,market,6,medium,medium,medium,14,yes,2.0,40.1,Medium,22.7212,75.8623,17,high,partial,1,0.59
Chappan Dukan,market,6,good,low,medium,1,yes,1.0,86.1,Safe,22.7312,75.8823,43,low,full,0,0.59
Anand Bazaar,commercial,23,good,low,medium,5,yes,1.6,65.7,Medium,22.7167,75.8623,21,low,partial,0,0.63
Hatod Road,isolated,23,poor,high,low,38,no,8.5,6.8,Unsafe,22.7823,75.7934,81,low,none,0,0.95
Tejpur Gadbadi,isolated,4,poor,high,low,56,no,9.5,7.6,Unsafe,22.7534,75.9345,73,low,none,0,1.03
Sarafa Bazar,market,18,good,low,high,7,yes,0.9,86.1,Safe,22.7167,75.8554,9,low,partial,0,0.59
Pipliyahana,residential,7,good,low,medium,3,yes,2.6,87.7,Safe,22.6823,75.8934,48,low,partial,0,0.43
Banganga,residential,3,medium,medium,low,12,no,4.0,6.9,Unsafe,22.6934,75.8656,5,medium,partial,1,0.61
Tilak Nagar,residential,11,medium,medium,low,7,no,4.2,45.8,Medium,22.7089,75.8734,10,low,partial,1,0.42
Tejaji Nagar,residential,18,medium,medium,medium,7,no,3.2,41.5,Medium,22.6934,75.8345,23,medium,partial,0,0.35
Scheme 140,residential,18,good,low,low,6,yes,2.8,77.6,Safe,22.7634,75.8734,69,low,partial,0,0.44
Rajwada,market,5,medium,medium,low,12,yes,1.5,18.7,Unsafe,22.718,75.8573,8,medium,partial,1,0.83
Annapurna Road,commercial,5,medium,medium,low,22,yes,3.0,20.3,Unsafe,22.6975,75.8782,7,low,partial,1,0.67
Rajwada,market,14,medium,medium,high,11,yes,1.5,56.1,Medium,22.718,75.8573,8,medium,partial,1,0.59
Loha Mandi,industrial,15,poor,high,low,24,no,7.0,9.8,Unsafe,22.7089,75.8512,14,high,none,0,0.68
Sanwer Road Indl,industrial,13,poor,high,low,38,no,7.0,22.2,Unsafe,22.7456,75.8123,74,medium,partial,0,0.67
Scheme 140,residential,6,good,low,low,5,yes,2.8,81.1,Safe,22.7634,75.8734,69,low,partial,0,0.39
Juni Indore,market,12,medium,medium,medium,7,no,3.0,42.4,Medium,22.7123,75.8512,16,high,partial,0,0.56
Bhagirathpura,residential,21,medium,medium,medium,15,no,4.0,6.1,Unsafe,22.7212,75.8489,28,high,partial,0,0.59
Tejaji Nagar,residential,16,medium,medium,medium,6,no,3.2,46.2,Medium,22.6934,75.8345,23,medium,partial,0,0.38
Sudama Nagar,residential,13,medium,medium,low,15,no,4.5,40.6,Medium,22.6891,75.8731,4,low,partial,0,0.44
AB Road,commercial,19,good,low,low,7,yes,1.3,77.8,Safe,22.7233,75.8958,52,low,full,0,0.42
LIG Colony,residential,12,good,low,medium,4,yes,2.4,92.7,Safe,22.7423,75.8734,55,low,partial,1,0.43
Manik Bagh,residential,6,good,low,low,4,yes,2.1,81.2,Safe,22.6934,75.8823,6,low,partial,0,0.38
Siyaganj,market,20,medium,medium,high,8,yes,2.0,25.3,Unsafe,22.7212,75.8623,17,high,partial,1,0.87
Mhow Road,commercial,9,medium,medium,medium,13,yes,3.5,50.6,Medium,22.6534,75.8234,26,low,partial,0,0.44
Juni Indore,market,5,medium,medium,low,16,no,3.0,23.5,Unsafe,22.7123,75.8512,16,high,partial,0,0.87
Sapna Sangeeta,commercial,10,good,low,high,3,yes,1.8,95.5,Safe,22.7273,75.88,41,low,full,0,0.45
Navlakha,commercial,17,medium,low,high,4,yes,1.8,75.8,Safe,22.7156,75.8689,20,medium,partial,1,0.42
Annapurna Road,commercial,0,medium,medium,low,10,yes,3.0,32.7,Unsafe,22.6975,75.8782,7,low,partial,1,0.63
Nemawar Road,isolated,11,poor,high,low,47,no,7.5,21.5,Unsafe,22.6543,75.8234,2,high,none,0,0.76
Aerodrome Road,commercial,0,good,low,low,2,yes,2.0,58.8,Medium,22.7234,75.8012,25,low,partial,1,0.62
AB Road,commercial,2,good,low,low,6,yes,1.3,55.6,Medium,22.7233,75.8958,52,low,full,0,0.64
Kanadiya Road,isolated,4,poor,high,low,37,no,8.0,11.7,Unsafe,22.7823,75.8456,82,low,partial,0,0.96
Bypass Roads,isolated,20,poor,high,low,46,no,9.0,10.4,Unsafe,22.7823,75.8789,80,high,none,0,0.96
Lasudia,residential,12,poor,medium,low,10,no,5.0,33.9,Unsafe,22.7567,75.9234,72,low,partial,1,0.41
MG Road,commercial,19,good,low,high,1,yes,1.0,90.3,Safe,22.7196,75.8799,18,low,full,1,0.47
Palasia,commercial,17,good,low,high,4,yes,1.5,90.2,Safe,22.7197,75.8772,32,low,full,1,0.48
Lasudia,residential,6,poor,medium,low,17,no,5.0,24.1,Unsafe,22.7567,75.9234,72,low,partial,1,0.39
Dewas Road,commercial,21,medium,medium,medium,7,yes,4.0,33.5,Unsafe,22.7456,75.8234,75,low,partial,0,0.65
Khajrana,residential,5,medium,medium,low,13,no,3.5,7.0,Unsafe,22.7395,75.9107,61,medium,partial,1,0.6
Manik Bagh,residential,12,good,low,medium,1,yes,2.1,92.9,Safe,22.6934,75.8823,6,low,partial,0,0.41
Lasudia,residential,1,poor,medium,low,12,no,5.0,16.0,Unsafe,22.7567,75.9234,72,low,partial,1,0.55
Bapat Square,commercial,12,good,low,high,4,yes,1.4,96.0,Safe,22.7234,75.8867,36,low,full,0,0.4
Hatod Road,isolated,15,poor,high,low,26,no,8.5,19.4,Unsafe,22.7823,75.7934,81,low,none,0,0.8
Palasia,commercial,20,good,low,high,4,yes,1.5,69.0,Medium,22.7197,75.8772,32,low,full,1,0.6
South Tukoganj,commercial,12,good,low,high,1,yes,0.8,95.6,Safe,22.7148,75.8826,12,low,full,0,0.44
Old Railway Lanes,isolated,8,poor,high,low,55,no,6.5,24.9,Unsafe,22.7134,75.8423,15,high,none,0,0.75
LIG Colony,residential,23,good,low,low,5,yes,2.4,59.7,Medium,22.7423,75.8734,55,low,partial,1,0.53
Dwarkapuri,residential,14,good,low,medium,8,yes,2.5,90.3,Safe,22.7423,75.8867,46,low,partial,0,0.37
South Tukoganj,commercial,4,good,low,low,3,yes,0.8,58.4,Medium,22.7148,75.8826,12,low,full,0,0.66
Nipania,residential,12,good,low,medium,1,yes,2.2,92.8,Safe,22.7634,75.9123,71,low,partial,0,0.42
Pigdambar,isolated,0,poor,medium,low,30,no,8.0,7.6,Unsafe,22.8234,75.9234,87,low,none,0,0.95
Raoji Bazar,market,15,medium,medium,high,17,yes,1.8,47.9,Medium,22.7198,75.8534,11,high,partial,0,0.61
Palda,residential,7,medium,medium,low,17,no,5.0,35.6,Unsafe,22.6734,75.9123,24,low,partial,0,0.44
Mhow Road,commercial,5,medium,medium,low,8,yes,3.5,26.8,Unsafe,22.6534,75.8234,26,low,partial,0,0.62
Hira Nagar,residential,23,medium,low,low,9,no,3.0,40.3,Medium,22.7534,75.8823,62,low,partial,0,0.57
Manik Bagh,residential,0,good,low,low,1,yes,2.1,59.1,Medium,22.6934,75.8823,6,low,partial,0,0.59
Palda,residential,16,medium,medium,low,15,no,5.0,40.9,Medium,22.6734,75.9123,24,low,partial,0,0.41
Dwarkapuri,residential,16,good,low,medium,7,yes,2.5,90.2,Safe,22.7423,75.8867,46,low,partial,0,0.38
Annapurna Road,commercial,1,medium,medium,low,10,yes,3.0,32.4,Unsafe,22.6975,75.8782,7,low,partial,1,0.66
Kanadiya,residential,3,medium,medium,low,20,no,4.5,14.7,Unsafe,22.7934,75.8456,83,low,partial,1,0.53
South Tukoganj,commercial,8,good,low,high,4,yes,0.8,90.7,Safe,22.7148,75.8826,12,low,full,0,0.43
Tilak Nagar,residential,4,medium,medium,low,21,no,4.2,7.6,Unsafe,22.7089,75.8734,10,low,partial,1,0.54
Musakhedi,residential,20,poor,high,low,30,no,6.0,6.0,Unsafe,22.7134,75.8734,27,medium,partial,0,0.53
Siyaganj,market,12,medium,medium,high,13,yes,2.0,48.2,Medium,22.7212,75.8623,17,high,partial,1,0.58
Chambal Colony,residential,22,poor,high,low,28,no,6.5,18.9,Unsafe,22.7289,75.8478,35,low,partial,0,0.57
Bhagirathpura,residential,17,medium,medium,medium,16,no,4.0,28.1,Unsafe,22.7212,75.8489,28,high,partial,0,0.39
Kanadiya Road,isolated,8,poor,high,low,32,no,8.0,21.6,Unsafe,22.7823,75.8456,82,low,partial,0,0.77
Banganga,residential,0,medium,medium,medium,22,no,4.0,7.5,Unsafe,22.6934,75.8656,5,medium,partial,1,0.55
Bhanwarkuan,residential,12,medium,medium,medium,10,no,3.5,52.6,Medium,22.6812,75.8645,3,low,partial,0,0.44
Chambal Colony,residential,5,poor,high,low,20,no,6.5,21.9,Unsafe,22.7289,75.8478,35,low,partial,0,0.58
Musakhedi,residential,1,poor,high,low,37,no,6.0,18.6,Unsafe,22.7134,75.8734,27,medium,partial,0,0.54
Tejpur Gadbadi,isolated,12,poor,high,low,22,no,9.5,24.1,Unsafe,22.7534,75.9345,73,low,none,0,0.82
Sapna Sangeeta,commercial,19,good,low,high,2,yes,1.8,90.8,Safe,22.7273,75.88,41,low,full,0,0.42
Dewas Road,commercial,10,medium,medium,medium,12,yes,4.0,55.5,Medium,22.7456,75.8234,75,low,partial,0,0.45
Bambori,isolated,3,poor,high,low,44,no,8.5,15.2,Unsafe,22.8234,75.8623,86,low,none,0,1.0
Dewas Road,commercial,6,medium,medium,low,16,yes,4.0,43.3,Medium,22.7456,75.8234,75,low,partial,0,0.47
LIG Colony,residential,5,good,low,low,1,yes,2.4,59.4,Medium,22.7423,75.8734,55,low,partial,1,0.56
Pardeshipura,industrial,0,medium,medium,low,10,no,5.0,23.3,Unsafe,22.7289,75.8534,33,medium,partial,1,0.93
AB Road,commercial,4,good,low,low,7,yes,1.3,55.6,Medium,22.7233,75.8958,52,low,full,0,0.64
Murai Mohalla,residential,20,medium,medium,low,7,no,4.5,24.4,Unsafe,22.7145,75.8478,13,high,partial,0,0.52
South Tukoganj,commercial,5,good,low,low,4,yes,0.8,58.4,Medium,22.7148,75.8826,12,low,full,0,0.66
AB Road,commercial,5,good,low,high,1,yes,1.3,68.5,Medium,22.7233,75.8958,52,low,full,0,0.65
South Tukoganj,commercial,13,good,low,high,2,yes,0.8,95.3,Safe,22.7148,75.8826,12,low,full,0,0.47
Khajrana,residential,10,medium,medium,medium,14,no,3.5,41.4,Medium,22.7395,75.9107,61,medium,partial,1,0.36
Murai Mohalla,residential,3,medium,medium,low,17,no,4.5,21.9,Unsafe,22.7145,75.8478,13,high,partial,0,0.58
Bypass Roads,isolated,14,poor,high,low,32,no,9.0,11.2,Unsafe,22.7823,75.8789,80,high,none,0,0.77
Loha Mandi,industrial,3,poor,high,low,31,no,7.0,8.9,Unsafe,22.7089,75.8512,14,high,none,0,0.98
AB Road,commercial,23,good,low,medium,1,yes,1.3,65.9,Medium,22.7233,75.8958,52,low,full,0,0.61
Manik Bagh,residential,18,good,low,medium,3,yes,2.1,87.8,Safe,22.6934,75.8823,6,low,partial,0,0.42
Chhota Bangarda,residential,12,medium,medium,low,9,no,5.0,46.3,Medium,22.7823,75.9123,76,low,none,0,0.37
Bhawarkuan,residential,17,medium,medium,medium,6,no,3.8,48.3,Medium,22.6812,75.8645,3,low,partial,1,0.37
Kesar Bagh,residential,19,good,low,medium,5,yes,2.3,88.2,Safe,22.7189,75.8734,29,low,partial,0,0.38
Raoji Bazar,market,15,medium,medium,high,17,yes,1.8,48.3,Medium,22.7198,75.8534,11,high,partial,0,0.57
Bhawarkuan,residential,20,medium,medium,medium,23,no,3.8,14.8,Unsafe,22.6812,75.8645,3,low,partial,1,0.52
Siyaganj,market,17,medium,medium,high,10,yes,2.0,47.6,Medium,22.7212,75.8623,17,high,partial,1,0.64
Musakhedi,residential,5,poor,high,low,25,no,6.0,16.0,Unsafe,22.7134,75.8734,27,medium,partial,0,0.51
Scheme 94,residential,0,good,low,low,3,yes,2.0,59.4,Medium,22.7534,75.8612,94,low,partial,0,0.56
Bicholi Mardana,residential,11,poor,medium,low,18,no,5.5,15.7,Unsafe,22.7734,75.9234,77,medium,partial,0,0.43
Tilak Nagar,residential,10,medium,medium,low,6,no,4.2,46.4,Medium,22.7089,75.8734,10,low,partial,1,0.36
Rau,residential,4,medium,low,low,8,no,4.0,34.4,Unsafe,22.6734,75.8123,1,low,partial,1,0.56
Kesar Bagh,residential,2,good,low,low,2,yes,2.3,59.4,Medium,22.7189,75.8734,29,low,partial,0,0.56
Geeta Bhawan,residential,13,good,low,medium,3,yes,2.8,92.9,Safe,22.7242,75.882,38,low,full,0,0.41
Hatod Road,isolated,6,poor,high,low,29,no,8.5,14.1,Unsafe,22.7823,75.7934,81,low,none,0,0.77
Pigdambar,isolated,10,poor,medium,low,45,no,8.0,22.6,Unsafe,22.8234,75.9234,87,low,none,0,0.82
Betma Road,isolated,20,poor,high,low,33,no,9.0,7.0,Unsafe,22.7123,75.7723,79,high,none,0,1.0
Murai Mohalla,residential,20,medium,medium,low,8,no,4.5,10.2,Unsafe,22.7145,75.8478,13,high,partial,0,0.59
Manik Bagh,residential,14,good,low,medium,1,yes,2.1,92.9,Safe,22.6934,75.8823,6,low,partial,0,0.41
Dwarkapuri,residential,8,good,low,medium,8,yes,2.5,84.7,Safe,22.7423,75.8867,46,low,partial,0,0.43
Kanadiya Road,isolated,11,poor,high,low,20,no,8.0,20.0,Unsafe,22.7823,75.8456,82,low,partial,0,0.82
Raoji Bazar,market,23,medium,medium,medium,13,yes,1.8,17.9,Unsafe,22.7198,75.8534,11,high,partial,0,0.81
Aerodrome Road,commercial,1,good,low,low,4,yes,2.0,58.3,Medium,22.7234,75.8012,25,low,partial,1,0.67
AB Road,commercial,19,good,low,high,2,yes,1.3,90.8,Safe,22.7233,75.8958,52,low,full,0,0.42
AB Road,commercial,19,good,low,high,1,yes,1.3,90.9,Safe,22.7233,75.8958,52,low,full,0,0.41
Limbodi,residential,17,medium,medium,low,10,no,5.5,28.0,Unsafe,22.8123,75.8456,84,medium,partial,0,0.4
Khajrana,residential,16,medium,medium,medium,16,no,3.5,41.4,Medium,22.7395,75.9107,61,medium,partial,1,0.36
Hatod Road,isolated,15,poor,high,low,26,no,8.5,6.9,Unsafe,22.7823,75.7934,81,low,none,0,0.84
Hatod Road,isolated,10,poor,high,low,21,no,8.5,11.4,Unsafe,22.7823,75.7934,81,low,none,0,0.78
Bicholi Mardana,residential,23,poor,medium,low,18,no,5.5,12.7,Unsafe,22.7734,75.9234,77,medium,partial,0,0.56
Anand Bazaar,commercial,23,good,low,medium,3,yes,1.6,65.5,Medium,22.7167,75.8623,21,low,partial,0,0.65
Sarafa Bazar,market,3,good,low,low,10,yes,0.9,53.4,Medium,22.7167,75.8554,9,low,partial,0,0.86
Betma Road,isolated,4,poor,high,low,28,no,9.0,17.5,Unsafe,22.7123,75.7723,79,high,none,0,1.04
LIG Colony,residential,16,good,low,medium,3,yes,2.4,93.4,Safe,22.7423,75.8734,55,low,partial,1,0.36
Kanadiya Road,isolated,22,poor,high,low,19,no,8.0,8.2,Unsafe,22.7823,75.8456,82,low,partial,0,1.0
Scheme 78,residential,5,good,low,medium,2,yes,2.2,66.1,Medium,22.7467,75.8756,78,low,full,0,0.59
Manik Bagh,residential,21,good,low,medium,1,yes,2.1,66.1,Medium,22.6934,75.8823,6,low,partial,0,0.59
Jawahar Marg,commercial,15,good,low,high,4,yes,1.5,95.9,Safe,22.7178,75.8712,22,low,partial,0,0.41
Vijay Nagar,commercial,8,good,low,high,7,yes,1.2,87.1,Safe,22.7343,75.8867,45,low,full,1,0.49
Dewas Road,commercial,19,medium,medium,medium,16,yes,4.0,50.4,Medium,22.7456,75.8234,75,low,partial,0,0.46
MG Road,commercial,9,good,low,high,1,yes,1.0,90.5,Safe,22.7196,75.8799,18,low,full,1,0.45
Rau,residential,4,medium,low,low,6,no,4.0,34.1,Unsafe,22.6734,75.8123,1,low,partial,1,0.59
Manik Bagh,residential,0,good,low,low,1,yes,2.1,59.9,Medium,22.6934,75.8823,6,low,partial,0,0.51
Nemawar Road,isolated,13,poor,high,low,23,no,7.5,22.2,Unsafe,22.6543,75.8234,2,high,none,0,0.78
Tilak Nagar,residential,16,medium,medium,low,11,no,4.2,41.4,Medium,22.7089,75.8734,10,low,partial,1,0.36
Chappan Dukan,market,6,good,low,medium,4,yes,1.0,85.6,Safe,22.7312,75.8823,43,low,full,0,0.64
Pipliyahana,residential,4,good,low,low,3,yes,2.6,58.9,Medium,22.6823,75.8934,48,low,partial,0,0.61
Super Corridor,commercial,22,good,low,low,1,yes,2.0,58.6,Medium,22.8123,75.8934,85,low,full,0,0.64
Pardeshipura,industrial,12,medium,medium,low,11,no,5.0,26.5,Unsafe,22.7289,75.8534,33,medium,partial,1,0.65
Rau,residential,7,medium,low,medium,14,no,4.0,57.7,Medium,22.6734,75.8123,1,low,partial,1,0.43
Hatod Road,isolated,11,poor,high,low,25,no,8.5,14.0,Unsafe,22.7823,75.7934,81,low,none,0,0.81
Bhagirathpura,residential,12,medium,medium,medium,6,no,4.0,38.0,Unsafe,22.7212,75.8489,28,high,partial,0,0.4
Chhota Bangarda,residential,0,medium,medium,low,13,no,5.0,14.7,Unsafe,22.7823,75.9123,76,low,none,0,0.53
Palda,residential,23,medium,medium,low,12,no,5.0,14.6,Unsafe,22.6734,75.9123,24,low,partial,0,0.54
Bhawarkuan,residential,14,medium,medium,medium,9,no,3.8,53.4,Medium,22.6812,75.8645,3,low,partial,1,0.36
Manik Bagh,residential,17,good,low,medium,5,yes,2.1,88.5,Safe,22.6934,75.8823,6,low,partial,0,0.35
Manik Bagh,residential,17,good,low,medium,2,yes,2.1,88.4,Safe,22.6934,75.8823,6,low,partial,0,0.36
Raoji Bazar,market,9,medium,medium,high,7,yes,1.8,47.7,Medium,22.7198,75.8534,11,high,partial,0,0.63
Rau,residential,18,medium,low,medium,11,no,4.0,57.8,Medium,22.6734,75.8123,1,low,partial,1,0.42
Chhota Bangarda,residential,2,medium,medium,low,7,no,5.0,19.0,Unsafe,22.7823,75.9123,76,low,none,0,0.6
Bada Rawla Naka,market,9,medium,medium,medium,14,no,3.5,41.3,Medium,22.7089,75.8556,19,low,partial,0,0.57
Nemawar Road,isolated,15,poor,high,low,54,no,7.5,23.3,Unsafe,22.6543,75.8234,2,high,none,0,0.81
Scheme 54,residential,20,good,low,medium,4,yes,2.5,66.8,Medium,22.7411,75.8673,54,low,full,1,0.52
Bapat Square,commercial,2,good,low,low,4,yes,1.4,58.7,Medium,22.7234,75.8867,36,low,full,0,0.63
Scheme 94,residential,8,good,low,medium,2,yes,2.0,87.8,Safe,22.7534,75.8612,94,low,partial,0,0.42
Chhota Bangarda,residential,6,medium,medium,low,11,no,5.0,36.3,Unsafe,22.7823,75.9123,76,low,none,0,0.37
Tejaji Nagar,residential,23,medium,medium,low,21,no,3.2,14.4,Unsafe,22.6934,75.8345,23,medium,partial,0,0.51
Super Corridor,commercial,2,good,low,low,2,yes,2.0,58.2,Medium,22.8123,75.8934,85,low,full,0,0.68
Hatod Road,isolated,17,poor,high,low,19,no,8.5,10.5,Unsafe,22.7823,75.7934,81,low,none,0,0.84
Pigdambar,isolated,2,poor,medium,low,19,no,8.0,7.8,Unsafe,22.8234,75.9234,87,low,none,0,1.03
Kanadiya Road,isolated,7,poor,high,low,41,no,8.0,5.1,Unsafe,22.7823,75.8456,82,low,partial,0,0.82
Bypass Roads,isolated,6,poor,high,low,63,no,9.0,15.6,Unsafe,22.7823,75.8789,80,high,none,0,0.8
Manik Bagh,residential,13,good,low,medium,2,yes,2.1,93.3,Safe,22.6934,75.8823,6,low,partial,0,0.37
Bypass Roads,isolated,15,poor,high,low,52,no,9.0,7.1,Unsafe,22.7823,75.8789,80,high,none,0,0.82
Rau,residential,18,medium,low,medium,11,no,4.0,57.9,Medium,22.6734,75.8123,1,low,partial,1,0.41
Dwarkapuri,residential,5,good,low,low,4,yes,2.5,59.4,Medium,22.7423,75.8867,46,low,partial,0,0.56
Chambal Colony,residential,3,poor,high,low,40,no,6.5,12.8,Unsafe,22.7289,75.8478,35,low,partial,0,0.53
Manik Bagh,residential,13,good,low,medium,4,yes,2.1,92.6,Safe,22.6934,75.8823,6,low,partial,0,0.44
AB Road,commercial,18,good,low,high,7,yes,1.3,87.5,Safe,22.7233,75.8958,52,low,full,0,0.45
Lasudia,residential,19,poor,medium,low,13,no,5.0,24.3,Unsafe,22.7567,75.9234,72,low,partial,1,0.37
Sarafa Bazar,market,0,good,low,low,2,yes,0.9,76.6,Safe,22.7167,75.8554,9,low,partial,0,0.84
Nemawar Road,isolated,19,poor,high,low,28,no,7.5,16.8,Unsafe,22.6543,75.8234,2,high,none,0,0.83
Rajwada,market,9,medium,medium,high,8,yes,1.5,56.5,Medium,22.718,75.8573,8,medium,partial,1,0.55
Raoji Bazar,market,10,medium,medium,high,13,yes,1.8,47.9,Medium,22.7198,75.8534,11,high,partial,0,0.61
MG Road,commercial,3,good,low,low,4,yes,1.0,58.9,Medium,22.7196,75.8799,18,low,full,1,0.61
Lasudia,residential,20,poor,medium,low,17,no,5.0,10.5,Unsafe,22.7567,75.9234,72,low,partial,1,0.53
Super Corridor,commercial,8,good,low,medium,3,yes,2.0,87.0,Safe,22.8123,75.8934,85,low,full,0,0.5
Musakhedi,residential,1,poor,high,low,32,no,6.0,8.5,Unsafe,22.7134,75.8734,27,medium,partial,0,0.58
Palda,residential,22,medium,medium,low,6,no,5.0,19.3,Unsafe,22.6734,75.9123,24,low,partial,0,0.57
Loha Mandi,industrial,1,poor,high,low,38,no,7.0,20.5,Unsafe,22.7089,75.8512,14,high,none,0,0.99
Mhow Road,commercial,14,medium,medium,medium,12,yes,3.5,55.0,Medium,22.6534,75.8234,26,low,partial,0,0.5
Banganga,residential,9,medium,medium,medium,17,no,4.0,36.1,Unsafe,22.6934,75.8656,5,medium,partial,1,0.39
Palasia,commercial,1,good,low,low,4,yes,1.5,59.1,Medium,22.7197,75.8772,32,low,full,1,0.59
Palasia,commercial,0,good,low,low,4,yes,1.5,58.8,Medium,22.7197,75.8772,32,low,full,1,0.62
Betma Road,isolated,5,poor,high,low,30,no,9.0,23.9,Unsafe,22.7123,75.7723,79,high,none,0,1.0
Aerodrome Road,commercial,16,good,low,medium,1,yes,2.0,92.4,Safe,22.7234,75.8012,25,low,partial,1,0.46
Sudama Nagar,residential,19,medium,medium,low,9,no,4.5,41.1,Medium,22.6891,75.8731,4,low,partial,0,0.39
Jawahar Marg,commercial,19,good,low,high,4,yes,1.5,91.0,Safe,22.7178,75.8712,22,low,partial,0,0.4
Raoji Bazar,market,21,medium,medium,high,12,yes,1.8,21.0,Unsafe,22.7198,75.8534,11,high,partial,0,0.8
Manik Bagh,residential,2,good,low,low,2,yes,2.1,59.8,Medium,22.6934,75.8823,6,low,partial,0,0.52
Super Corridor,commercial,23,good,low,low,5,yes,2.0,59.1,Medium,22.8123,75.8934,85,low,full,0,0.59
Kanadiya,residential,15,medium,medium,medium,15,no,4.5,48.5,Medium,22.7934,75.8456,83,low,partial,1,0.35
Rau Bypass,isolated,8,poor,high,low,32,no,7.5,7.0,Unsafe,22.6623,75.8034,1,high,none,0,0.83
Malwa Mill,industrial,18,poor,high,low,30,no,6.0,8.1,Unsafe,22.7234,75.8345,16,high,none,0,0.72
Scheme 140,residential,14,good,low,medium,1,yes,2.8,93.1,Safe,22.7634,75.8734,69,low,partial,0,0.39
Malwa Mill,industrial,16,poor,high,low,24,no,6.0,24.2,Unsafe,22.7234,75.8345,16,high,none,0,0.72
Chappan Dukan,market,22,good,low,medium,5,yes,1.0,75.5,Safe,22.7312,75.8823,43,low,full,0,0.85
Sarafa Bazar,market,13,good,low,high,5,yes,0.9,93.8,Safe,22.7167,75.8554,9,low,partial,0,0.62
Navlakha,commercial,1,medium,low,low,7,yes,1.8,41.0,Medium,22.7156,75.8689,20,medium,partial,1,0.6
Sanwer Road Indl,industrial,1,poor,high,low,19,no,7.0,5.8,Unsafe,22.7456,75.8123,74,medium,partial,0,0.95
Annapurna Road,commercial,21,medium,medium,medium,13,yes,3.0,34.6,Unsafe,22.6975,75.8782,7,low,partial,1,0.64
Nipania,residential,1,good,low,low,1,yes,2.2,59.8,Medium,22.7634,75.9123,71,low,partial,0,0.52
Bhanwarkuan,residential,12,medium,medium,medium,8,no,3.5,52.8,Medium,22.6812,75.8645,3,low,partial,0,0.42
Scheme 94,residential,1,good,low,low,1,yes,2.0,59.0,Medium,22.7534,75.8612,94,low,partial,0,0.6
Palasia,commercial,22,good,low,medium,5,yes,1.5,65.9,Medium,22.7197,75.8772,32,low,full,1,0.61
Dwarkapuri,residential,1,good,low,low,2,yes,2.5,59.3,Medium,22.7423,75.8867,46,low,partial,0,0.57
Scheme 140,residential,10,good,low,medium,2,yes,2.8,93.4,Safe,22.7634,75.8734,69,low,partial,0,0.36
Jawahar Marg,commercial,5,good,low,low,6,yes,1.5,56.0,Medium,22.7178,75.8712,22,low,partial,0,0.6
Tejaji Nagar,residential,16,medium,medium,medium,13,no,3.2,41.2,Medium,22.6934,75.8345,23,medium,partial,0,0.38
Khajrana,residential,1,medium,medium,low,18,no,3.5,7.3,Unsafe,22.7395,75.9107,61,medium,partial,1,0.57
Super Corridor,commercial,3,good,low,low,2,yes,2.0,58.7,Medium,22.8123,75.8934,85,low,full,0,0.63
Dwarkapuri,residential,23,good,low,low,7,yes,2.5,56.2,Medium,22.7423,75.8867,46,low,partial,0,0.58
Juni Indore,market,2,medium,medium,low,8,no,3.0,7.1,Unsafe,22.7123,75.8512,16,high,partial,0,0.89
Annapurna Road,commercial,4,medium,medium,low,9,yes,3.0,32.4,Unsafe,22.6975,75.8782,7,low,partial,1,0.66
LIG Colony,residential,22,good,low,low,1,yes,2.4,59.6,Medium,22.7423,75.8734,55,low,partial,1,0.54
Jawahar Marg,commercial,6,good,low,medium,4,yes,1.5,87.4,Safe,22.7178,75.8712,22,low,partial,0,0.46
